title,detail_link,company,date_publication,sector,contract_type,study_level,experience,availability,location,region,city,salary_min,salary_max,description,skills,source,scraped_at,job_id
Directeur de Production (Jbel ELOuest),https://www.keejob.com/offres-emploi/232644/directeur-de-production-jbal-elouest/,,2025-11-29,"recrutement, ressources humaines",,Bac + 5,Entre 5 et 10 ans,Plein temps,"Zaghouan, Tunisie",,Zaghouan,,,"Nous recrutons pour notre client, usine specialisee dans les elements prefabriques en beton (poutrelles et poutres precontraintes, entrevous et agglos), Directeur de production Le poste est strategique, car il garantit : la performance operationnelle de lusine, la qualite des produits, et le developpement et la motivation des equipes. MISSIONS: Superviser lensemble des activites de production de lusine. Encadrer 5 responsables de services et une equipe denviron 60 personnes (techniciens, conducteurs de machines et ouvriers). Garantir le respect des standards de production, de qualite et de securite. Optimiser les process industriels et proposer des ameliorations continues. Participer au developpement technique et a la formation des equipes. PROFIL RECHERCHE : Formation superieure en genie industriel ou electromecanique Experience appreciee dans le secteur de la construction ou de la fabrication delements prefabriques en beton. Competences averees en management dequipes multidisciplinaires et en organisation industrielle. Bonnes capacites de communication, leadership et esprit dinitiative.","communication, management, leadership",keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi232644directeurdeproductionjbalelouest
Chef des Ventes Secteur Pharmacie / PARA,https://www.keejob.com/offres-emploi/232643/chef-des-ventes-secteur-pharmacie-para/,,2025-11-29,"recrutement, ressources humaines",CDI,Bac + 5,Plus que 10 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Nous recrutons pour le compte de notre client, groupe de societes, Chef des Ventes Secteur Parapharmacie / Pharma Missions principales : Management et encadrement de lequipe commerciale Superviser et accompagner les delegues dans leurs missions quotidiennes. Fixer les objectifs commerciaux et assurer leur suivi. Former et motiver lequipe pour atteindre les performances attendues. Developpement du reseau de vente Identifier et prospecter de nouveaux clients dans le secteur parapharmacie et pharmaceutique. Developper des partenariats solides avec les clients existants. Suivre les indicateurs de performance et proposer des actions correctives. Commercialisation des dispositifs medicaux pour linsuline Presenter les produits et former les clients aux solutions proposees. Mettre en place des strategies de vente adaptees aux besoins du marche. Reporting et analyse Fournir un suivi regulier des resultats commerciaux a la direction. Analyser les tendances du marche et proposer des initiatives pour augmenter le chiffre daffaires. Profil recherche : Experience confirmee dans le secteur paramedical, cosmetologie ou dermatologie. Excellente connaissance des reseaux de vente. Competences en management dequipe et leadership. Capacite a atteindre les objectifs commerciaux et a developper le portefeuille clients","management, leadership",keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi232643chefdesventessecteurpharmaciepara
Responsable Ressources Humaines,https://www.keejob.com/offres-emploi/232640/responsable-ressources-humaines/,,2025-11-30,"recrutement, ressources humaines",,Bac + 5,Entre 5 et 10 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Nous recrutons pour le compte de notre client, expert en assistance aux personnes, proposant des services a forte valeur ajoutee a travers ses partenaires et differents reseaux, Responsable Ressources Humaines Mission principale : Assurer la gestion strategique et operationnelle des ressources humaines pour lensemble du groupe, en garantissant lefficacite et le developpement du capital humain. Responsabilites principales : Gestion administrative et RH : Superviser la gestion administrative du personnel (contrats, dossiers, obligations legales). Gerer les effectifs du groupe (120 collaborateurs), profils varies de mecaniciens a cols blancs. Recrutement et integration : Participer au recrutement et a lintegration des nouveaux collaborateurs. Assurer la coherence des pratiques de recrutement dans le groupe. Formation et developpement : Definir et mettre en place les programmes de formation. Suivre le developpement des competences et assurer le plan de carriere. Evaluation et suivi des performances : Mettre en place des evaluations periodiques et assurer le suivi. Harmoniser les grilles de postes et les avantages sociaux. Politique RH et projets transverses : Participer a lelaboration et a limplementation des politiques RH. Veiller a lharmonisation des pratiques RH au sein du groupe. Profil recherche : Diplome en Ressources Humaines, Gestion ou equivalent. Experience de 3 a 6 ans en gestion RH. Maitrise du droit du travail et des pratiques RH. Experience en gestion dequipes multi-profils et programmes RH. Excellentes competences relationnelles, organisationnelles et en communication. Competences cles : Leadership et capacite a manager une equipe diverse. Sens de lorganisation et rigueur. Confidentialite et integrite. Maitrise des outils RH et bureautiques.","communication, gestion, leadership",keejob,2025-11-30 16:30:02,httpswwwkeejobcomoffresemploi232640responsableressourceshumaines
Responsable Methodes UAP,https://www.keejob.com/offres-emploi/232555/responsable-m%C3%A9thodes-uap/,,2025-11-30,"informatique, telecoms",CDI,Bac + 5,Entre 5 et 10 ans,Plein temps,"Menzel Jemil, Bizerte, Tunisie",Bizerte,Menzel Jemil,,,"le Groupe One Tech operant dans les secteurs de lindustrie du cable, de la mecatronique (fabrication de circuits imprimes, assemblage electronique et mecanique cablage filaire, injection plastique) et les nouvelles technologies de linformation et de la communication, se distinguant par une intervention multi marches et multi expertises dans le domaine automobile et industriel et emploie plus de 4500 Collaborateurs Recrute un Responsable Methodes UAP : Missions Rattache directement au Directeur technique, vous aurez comme missions : - Organiser et gerer de facon autonome les dossiers produits et les modifications sur les produits/process, - Assurer le management de la communication clients/fournisseurs, - Analyser les flux et definir des lay-outs et des amenagements des lignes de production, - Participer et faire partie des chantiers AMDEC, - Concevoir, mettre en place et ameliorer les process de production, - Valider les nouveaux equipements de production, - Renseigner les fiches articles, les articles site, les centres - postes de charge, les gammes de production et les nomenclatures, - Piloter les chantiers damelioration (Hoshin, 5S, VSM etc...), - Piloter les modifications techniques (planning de modification, etude de faisabilite, les essais de prototypage, JPC, PPAP, etc...), - Gerer la communication client par rapport au sujet technique. Connaissances Techniques Connaissance des demarches Lean, Maitrise techniques et outils gestion de projet, Maitrise des techniques de validation / qualification des procedes/produit ( SPC, qualification des installations, qualification operationnelle, qualification des performances ...), Maitrise de l'elaboration des dossiers de fabrication et de controle, Maitrise de l'AMDEC Process, Maitrise des outils danalyse et de resolution de problemes qualite et process ( Ishikawa, Pareto, FTA, QRQC...), Exigences du poste / Profil De formation (Bac+5) dans les specialites genie industriel, genie mecanique, mecatronique, electrique ou equivalent. Vous avez une experience significative ( min 5 ans ) au sein des services methodes, etudes, production. Vous maitrisez le processus de production et les technologies associees ainsi que le Lean Manufacturing Vous disposez des connaissances sur les exigences qualite automobiles. Rigueur, methode, implication, proactivite et esprit d'equipe sont vos atouts pour reussir a ce poste. Vous etes bilingue Arabe/Francais. La maitrise de l'Anglais est un plus.","communication, gestion, management, travail en equipe, organisation, anglais, francais",keejob,2025-11-30 16:30:06,httpswwwkeejobcomoffresemploi232555responsablemc3a9thodesuap
"Conseiller client (appels, chat & email)",https://www.keejob.com/offres-emploi/232501/conseiller-client-appels-chat-email/,,2025-11-30,"informatique, telecoms",,Bac,Aucune experience,Plein temps,"Tunis, Tunisie",,Tunis,,,"Si lecriture vous est plus naturelle que la parole. Si vous ponctuez comme vous respirez. TP Tunisie vous offre le poste qui satisfait vos inspirations. Vous maitrisez la langue francaise a loral comme a lecrit, vous vouez une passion a lart de lecriture et les innovations technologiques. TP Tunisie ouvre ses portes aux amoureux de la redaction et recrute des conseillers client multicanal. Au sein dun environnement dexcellence, nous proposons un poste base sur la proximite, lecoute, lepanouissement et le developpement de vos competences ! Suivez votre passion, rejoignez le meilleur employeur en Tunisie ! Votre profil : Vous etes motive(e), dote(e) dun bon relationnel et ayant le sens du service. Vos qualites sont vos atouts ! Votre mission : Garantir une relation client efficace et instantanee. Identifier les besoins du client, trouver les arguments les plus adaptes. Notre offre : Un contrat des lembauche et une formation produit remuneree. Le choix parmi deux regimes horaires de travail : 40H et 28H par semaine. Un salaire fixe motivant complete par un 13eme mois et un systeme de primes attractif (prime sur objectifs mensuelle, prime de flexibilite mensuelle, bonus sur challenges). De nombreux avantages voues au bien-etre de nos collaborateurs : transport gratuit, tickets restaurant et assurance groupe, prime danciennete, primes saisonnieres (Ramadan, rentree scolaire), fonds social (mariage, naissance, aides exceptionnelles, credits a 0%), tarifs preferentiels aupres denseignes commerciales diverses. Des opportunites devolution grace a nos politiques de formation continue et gestion de carrieres (95% de nos managers sont issus de la promotion interne). TP est une entreprise inclusive dont lambition est de recruter et de promouvoir des talents divers : toutes nos offres d'emploi sont ouvertes aux personnes en situation de handicap. * TP est certifiee Meilleur employeur en Tunisie / Best Places To Work in Tunisia en 2018/2019/2020/2021. * Fin 2019, TP a reussi a se hisser au rang des meilleurs employeurs en Afrique dans le cadre du prestigieux programme BEST PLACES TO WORK in AFRICA en se positionnant 1ere dans notre secteur et 5eme dans le classement global. * TP est aussi certifiee GREAT PLACE TO WORK en 2021, 2022, 2023, 2024 et 2025. Note dinformation relative aux traitements de donnees",gestion,keejob,2025-11-30 16:30:09,httpswwwkeejobcomoffresemploi232501conseillerclientappelschatemail
Team Leader- Italophone/ Anglophone,https://www.keejob.com/offres-emploi/232396/team-leader-italophone-anglophone/,,2025-11-30,"call center, televente",CDI,Bac + 2,Entre 2 et 5 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Acteur majeur sur le marche de la gestion de la relation client a distance, avec une experience solide de plus de 10 ans en Tunisie, notre societe se distingue par son expertise dans l'externalisation de la relation client multi-canal. Dans le cadre du renforcement de notre equipe a Tunis, nous recrutons Un(e) Team Leader Bilingue ( H/F) - Italien/Anglais Exigences de l'emploi: Parfaite maitrise de l'Italien et de lAnglais Vous justifiez imperativement d'une experience reussie dans le management d'equipe de centre d'appel. Vous savez : Entretenir un climat de travail positif en maintenant votre equipe motivee et productive ; Mesurer en temps reel la performance et la productivite ; Contribuer a la montee en competence des conseillers / vendeurs en fournissant l'encadrement et le coaching necessaires a l'amelioration des performances ; Communiquer les resultats individuels et d'equipe, identifier les ecarts de performance et assurer le suivi des plans d'action Nous vous offrons : Un Contrat : CDI Un salaire attractif a negocier Des primes sur objectif mensuelles. Une assurance groupe. Tickets restaurants Transport assure","gestion, management, anglais",keejob,2025-11-30 16:30:12,httpswwwkeejobcomoffresemploi232396teamleaderitalophoneanglophone
Assistant Financier,https://www.keejob.com/offres-emploi/232373/assistant-administratif-et-financier/,,2025-11-30,"agriculture, agro-alimentaire, environnement",,Bac + 3,Entre 1 et 2 ans,Plein temps,"Medenine Sud, Medenine, Tunisie",Médenine,Medenine Sud,,,"Le Groupe MABROUKA, leader national du secteur agricole, est constitue de plusieurs poles dactivites : production/pepiniere, commerce et industrie. Dans le cadre du renforcement de nos equipes et de notre strategie de developpement du capital humain, nous recrutons pour notre filiale basee a Medenine un(e) Assistant(e) Financier Missions : - Veiller a lapplication des procedures de gestion financiere et comptabilite - Saisi et gestion des pieces comptable - Contribuer a la gestion de la tresorerie dentreprise - Suivi et rapprochement des operations bancaires - Rendre compte de la situation des engagements mensuels de la societe - Assurer le reglement des fournisseurs - Superviser la gestion des ventes et suivi des encaissements clients - Organiser le classement des justificatifs des operations comptables et financieres Profil : Licence ou maitrise en gestion/finance/comptabilite Experience de 2 a 3 ans dans un poste similaire Maitrise des outils informatiques Autonomie, reactivite, bon relationnel, bonne communication et sens de responsabilite","communication, gestion, autonomie, organisation",keejob,2025-11-30 16:30:16,httpswwwkeejobcomoffresemploi232373assistantadministratifetfinancier
Assistant de gestion,https://www.keejob.com/offres-emploi/232307/assistant-de-gestion/,,2025-11-30,"informatique, telecoms",CDI,Bac + 3,Entre 2 et 5 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Everience Tunisie vous offre la possibilite davoir un parcours dans le domaine de la gestion des ventes dans une multinationale francaise specialisee en infogerance. Votre role principal sera de mettre en pratique la politique de gestion des ventes en adequation avec les orientations strategiques du groupe et les objectifs de conformite fixes. A cet effet, vos principales responsabilites incluront : La gestion des portefeuilles clients & fournisseurs Le suivi des contrats et des commandes clients en coordination avec lequipe commerciale et les equipes operationnelles (Suivi avancement, suivi des temps, imputation des achats) ; La creation des projets a laide de notre progiciel de gestion La gestion de la cloture mensuelle et letablissement des factures La participation a lelaboration des provisions (FAE / PCA) et le controle des encours en lien avec le controle de gestion ; La verification et la validation des factures de sous-traitance et limputation des charges dans loutil Le recouvrement des impayes sur votre perimetre. Qualifications Vous etes issu d'une formation Bac+3 ou Bac+5 dune ecole de commerce, de gestion des administrations Vous avez minimum 2 ans dexperience dans ladministration des ventes, idealement en ESN Vous maitrisez les outils informatiques (Pack office, logiciel de gestion de projet ou equivalent) Vous avez un sens aiguise du service Vous avez lesprit dequipe, et vous avez envie dapprendre et de progresser. Alors, osez un nouveau challenge et nhesitez pas a postuler, nous serons ravis dechanger avec vous ! Informations supplementaires Afin de mener a bien votre mission, vous beneficiez de plusieurs atouts : une formation metier (remuneree des votre integration) un environnement de travail tres agreable et convivial des moments festifs au cours desquels on celebre les succes personnels, collectifs et le plaisir de travailler ensemble des formations certifiantes debouchant sur une perspective devolution un package salarial attractif de multiples autres avantages (par exemple : prime de transport, assurance groupe, primes de mariage/scolarite, forfait telephonique illimite + Airbox 55Go/mois...) Si cela vous parle, nattendez plus et rejoignez-nous !","gestion, travail en equipe",keejob,2025-11-30 16:30:19,httpswwwkeejobcomoffresemploi232307assistantdegestion
Conseillers Commerciaux en Reception d'appel,https://www.keejob.com/offres-emploi/232332/conseillers-commerciaux-en-r%C3%A9ception-dappel/,,2025-11-30,"call center, televente",CDI,Bac + 2,Entre 1 et 2 ans,Plein temps,"La Soukra, Ariana, Tunisie",Ariana,La Soukra,,,"Le groupe Outsourcia est un operateur specialise dans les metiers de l'outsourcing: gestion de la relation client a distance, multiservice, multilingue et multicanal (centres d'appels, gestion des e-mails, solutions de chats, telemarketing et relation client sur les reseaux sociaux), externalisation de metiers de Back Office (BPO), prestations digitales (developpement d'applications specifiques, web ou mobiles, communication digitale et Community Management) et etudes. A ce jour, Outsourcia, emploie 3600 collaborateurs sur 12 sites de production en France, au Maroc, a Madagascar et en Tunisie et accompagne des clients de renom tels que : Aquarelle, Renault, Total, Orange, Histoire d'Or, Manutan, Marionnaud, Mister Auto, Seloger.com, Veepee, etc. Le groupe Outsourcia accompagne au quotidien ses collaborateurs en se basant sur des valeurs motrices telles que la solidarite, lengagement et lintegrite... Si vous aussi, vous partagez ces valeurs, nattendez-plus et venez relever de nouveaux defis avec Outsourcia Tunisie ! Dans le cadre du developpement de ses activites, Outsourcia recrute des Teleconseillers Commerciaux (Reception d'appel). Vos missions : -Susciter l'interet d'un client/prospect (des particuliers) pour le compte de fournisseurs d'electricite et de gaz. -Convertir les prospects en clients confirmes et mener a bien des ventes. Profils recherches : -Maitrise parfaite de la langue francaise, -Fort esprit commercial, -Experience souhaitee en televente. -Nous vous offrons le package suivant : 1.Salaire :Un salaire fixe de 1200 DT Nets pour un regime de 40h avec 2 jours de repos par semaine. 2. Primes :Prime sur objectif non plafonnee et tres motivante, -Bonus sur challenge hebdomadaires et mensuels, -Prime de fin dannee en fonction de lanciennete, -Primes de parrainage. 3. Avantages : -Contrat CDI des l'embauche (possibilite de CIVP egalement), -Formation remuneree, -Consultation gratuite chez le medecin de Outsourcia, -Assurance groupe, -Transport assure Aller/Retour sur le Grand Tunis et egalement pour les Bizertins, -Tickets restaurant,","communication, gestion, management",keejob,2025-11-30 16:30:22,httpswwwkeejobcomoffresemploi232332conseillerscommerciauxenrc3a9ceptiondappel
Conducteur-Chario-Elevateur,https://www.keejob.com/offres-emploi/232250/conducteur-chario-elevateur/,,2025-11-30,"electronique, electricite, energie",CDI,Formations professionnelles,Entre 2 et 5 ans,Plein temps,"Ben Arous, Ben Arous, Tunisie",,Ben Arous,,,"societe Totalement exportatrice cherche a Recruter : 1-Conducteur Chario-Elevateur Responsabilites d'un cariste Dechargez les materiaux et la marchandise entrants et empilez-les aux endroits assignes Localiser et deplacer le stock de produits vers des palettes ou des caisses pour le stockage ou l'expedition Identifier les dommages et signaler les manques ou les defauts de qualite Transporter les matieres premieres vers les postes de travail de production Inspecter les machines pour determiner le besoin de reparations et garantir la securite en effectuant un entretien regulier Conserver les enregistrements mis a jour des journaux d'inventaire et d'activite Se conformer aux politiques de l'entreprise et aux directives legales Aider a maintenir un environnement sur et ordonne des installations Exigences Experience confirmee en tant qu'operateur de chariots elevateurs Attention aux details et familiarite avec l'equipement industriel Excellente condition physique et coordination Certification valide pour l'utilisation de chariots elevateurs Diplome d'etudes secondaires ou l'equivalent Un degre eleve d'attention requis pour eviter de blesser les autres; promouvoir un environnement de travail securitaire Suivez les instructions pour l'utilisation de l'equipement et la tenue des dossiers Executer des missions de maniere precise, opportune et sure Maintenir un environnement propre et sur Un dossier de conduite propre et un permis de conduire de vehicule d'etat valide peuvent etre exiges Exigences physiques et capacites Avoir un bon sens de l'equilibre Avoir une bonne coordination il-main-pied Capacite d'evaluer les poids et de juger les distances et les hauteurs Possibilite de travailler a des temperatures variables, selon la saison",,keejob,2025-11-30 16:30:31,httpswwwkeejobcomoffresemploi232250conducteurcharioelevateur
Vendeur / Preparateur de Jus - MALL OF SOUSSE,https://www.keejob.com/offres-emploi/232254/vendeur-pr%C3%A9parateur-de-jus-mall-of-sousse/,,2025-11-30,"tourisme, hotellerie, restauration",CDD,Bac,Entre 1 et 2 ans,Plein temps,"Sousse, Tunisie",,Sousse,,,"BARIOLO, la reference du jus frais en Tunisie, cherche a recruter des vendeurs / preparateurs de jus, passionnes et dynamiques, pour renforcer ses equipes sur les points de vente suivants: MALL OF SOUSSE MISSIONS: La preparation et la vente des jus frais, Laccueil et le service des clients, Le respect de la bonne pratique d'hygiene. PROFIL RECHERCHE: Une experience significative dans un poste similaire, Une personne appreciant le service a la personne, lautonomie et le travail dequipe",,keejob,2025-11-30 16:30:35,httpswwwkeejobcomoffresemploi232254vendeurprc3a9parateurdejusmallofsousse
Directeur Administratif et Financier,https://www.keejob.com/offres-emploi/232189/directeur-administratif-et-financier/,,2025-11-30,"sante, paramedical, optique",,Bac + 5,Entre 2 et 5 ans,Plein temps,"Sfax Ville, Sfax, Tunisie",Sfax,Sfax Ville,,,"Etablir les previsions budgetaires et prevoir le financement des investissements. Realiser une analyse financiere de lentreprise. Piloter la tresorerie et identifier les moyens de loptimiser. Superviser la tenue comptable, les declarations mensuelles et larrete des comptes annuels. Etre le garant de la fiabilite du reporting : preparer les situations intermediaires, analyser les ecarts par rapport au budget et aux annees precedentes. Mettre en place le Systeme dinformation. Maitriser les outils de Controle de Gestion : Tableau de bord, systeme budgetaire, Le Profil : Licence + Mastere comptable. Une experience dans le domaine hoteliere est souhaitable MBA est souhaitable. Maitrise des outils bureautiques de type Excel, Access et power BI de preference. Maitrise de lERP X 3 Maitrise de la comptabilite analytique. Gestion dune equipe. Sens de lecoute. Autonome. Bonne communication. Capacite de negociation. Avoir une excellente connaissance et redaction des langues Arabes, Francaises et Anglaises Avoir le sens de lorganisation. Avoir le sens relationnel. Avoir beaucoup de rigueur. Capacite danalyse et de synthese.","communication, gestion, excel",keejob,2025-11-30 16:30:38,httpswwwkeejobcomoffresemploi232189directeuradministratifetfinancier
Technicien Maintenance Test FCT,https://www.keejob.com/offres-emploi/232214/technicien-maintenance-test-fct/,,2025-11-30,"recrutement, ressources humaines",,Bac + 3,Entre 2 et 5 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Rattache(e) au Responsable pole FCT, Assurer la maintenance preventive et corrective des moyens de test fonctionnels (FCT) utilises en production electronique, garantir leur disponibilite, fiabilite et conformite aux exigences qualite et process. Vos principales responsabilites : 1.Diagnostiquer et resoudre les pannes sur les testeurs FCT (equipements electroniques, mecaniques, logiciels, interfaces). 2.Realiser la maintenance preventive selon le planning etabli/la planification et le suivi des interventions . 3.Participer a la qualification, validation et mise en service des nouveaux moyens de test. 4.Collaborer avec les equipes Test et Production pour lanalyse des defauts et lamelioration du taux de FPY. 5.Proposer et mettre en uvre des actions damelioration continue sur les moyens de test. 6.Participer a la gestion le stock de pieces de rechange. 7.Assurer la mise a jour des documents techniques (historiques dintervention, rapports de test...). 8.Participer a la formation technique des operateurs et utilisateurs des bancs de test. Profil : Formation : Bac +2 a Bac +3 en electronique, electrotechnique, maintenance industrielle, ou equivalent. Experience : 2 a 3 ans dans un environnement industriel electronique, idealement en test FCT ou ICT /fonction similaire . Lecture de schemas electriques et plans techniques. Connaissance des instruments de mesure (multimetre, oscilloscope, alimentation, etc.). Maitrise des outils GMAO OptiMaint ou equivalent Notions en logiciels de test (LabVIEW, TestStand, C/C++, etc.) un atout. Bonne comprehension des interfaces de test (bed of nails, fixtures, cartes electroniques). Qualites personnelles : rigoureux, methodique, esprit danalyse, sens du service et reactivite. Langues : Francais courant Anglais technique.","gestion, anglais, francais",keejob,2025-11-30 16:30:41,httpswwwkeejobcomoffresemploi232214technicienmaintenancetestfct
Ingenieur vie serie & methode Test FCT,https://www.keejob.com/offres-emploi/232209/ing%C3%A9nieur-vie-s%C3%A9rie-m%C3%A9thode-test-fct/,,2025-11-30,"recrutement, ressources humaines",,Bac + 5,Entre 2 et 5 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Rattache(e) au Responsable Maintenance Test Usine, Assurer & Garantir la conformite des tests, la robustesse des moyens et la coordination technique entre developpement, maintenance test usine et production sur site. Vos principales responsabilites : 1. Support Vie Serie et Maintenance des Moyens de Test : RCA & CAPA : Diagnostiquer et resoudre les pannes sur les bancs de test (niveau 2/3). 2. Validation et Recette des Moyens de Test : Assurer la recette technique et fonctionnelle des moyens Participer a la qualification de test. 3. Interface Technique et Coordination Interne : Jouer le role dinterface entre les equipes developpement test, maintenance test usine et production. Communiquer et suivre les anomalies detectees sur les bancs & Animer les reunions techniques et de suivi testeurs 4. Methodes et Amelioration Continue : Identifier les points damelioration (temps de cycle, % FPY...). Piloter des actions damelioration. 1.Suivi des Indicateurs et Reporting : Suivre et analyser les indicateurs : disponibilite, MTBF, MTTR, % FPY. Profil : Formation Ingenieur en electronique, electrotechnique, systemes embarques, ou informatique industrielle (Bac+5). 03 a 05 ans dexperience souhaitee dans la maintenance /developpement des moyens de test FCT / Experience en vie serie (phase dexploitation) et methodes de test en production. Connaissance des systemes de test fonctionnel et dinstrumentation (NI LabVIEW/TestStand, CVI...). Programmation et outils : LabVIEW, Test Stand, CVI (NI)Connaissances en electronique, instrumentation et mesures Protocoles de communication : CAN, LIN, RS232, Ethernet... Base de donnees et tracabilite : SQL ... Outils MSA/SPC est un atout . Outils de gestion : MS Office, PLM, GMAO Rigueur, autonomie et sens du service. Esprit danalyse et de resolution de problemes. Excellentes capacites de communication et travail en equipe. Gout pour lamelioration continue et linnovation. Francais et anglais courant.","communication, gestion, travail en equipe, autonomie, anglais, francais, informatique",keejob,2025-11-30 16:30:44,httpswwwkeejobcomoffresemploi232209ingc3a9nieurviesc3a9riemc3a9thodetestfct
Conseillers Clients Reception d'appels FR/ANG,https://www.keejob.com/offres-emploi/232203/conseillers-clients-r%C3%A9ception-dappels-frang/,,2025-11-30,"call center, televente",CDI,Secondaire,Aucune experience,Plein temps,"Ariana, Tunisie",,Ariana,,,"Concentrix Nous sommes un leader mondial en matiere de technologie et de services qui propulse les marques du futur. Nous aidons des marques connues celles que vous utilisez quotidiennement a ameliorer leurs activites grace a la technologie et a des solutions integrees, dans plus de 70 pays. Dans tout ce que nous faisons, nous croyons qu'il faut agir correctement par et pour les gens : nos acteurs qui changent la donne, nos clients et leurs clients, notre communaute, notre planete. Decouvrez la puissance de Concentrix. Offre demploi : Nous recherchons activement des conseillers en reception dappel bilingue. Exigences de l'emploi Mission : Receptionner les appels clients Detecter les besoins du client et proposer les services appropries Veille a la bonne conclusion du dossier client Profil recherche : Maitrise parfaite de la Langue Anglaise (Minimum B2) Maitrise parfaite de la Langue Francaise (Minimum B2) Maitrise de loutil informatique Avantages : Les personnes recrutees beneficieront de plusieurs avantages tels que : Un contrat CDI et CDD Un salaire motivant. Prime de langue. Un systeme de bonus sur salaire pouvant aller jusqua 18 % de votre salaire mensuel. Transport Gratuit. Tickets restaurants Gratuit : Sans cotisation de votre part. Assurance groupe maladie pour TOUTE LA FAMILLE. Opportunite devolution en interne au sein de nos differents departements",informatique,keejob,2025-11-30 16:30:48,httpswwwkeejobcomoffresemploi232203conseillersclientsrc3a9ceptiondappelsfrang
COMMERCIAL TERRAIN SUD,https://www.keejob.com/offres-emploi/232222/commercial-terrain-sud/,,2025-11-30,"commerce, vente, distribution",CDI,Bac + 2,Entre 1 et 2 ans,Plein temps,"Msaken, Sousse, Tunisie",Sousse,Msaken,,,"Pour le compte de la societe LEONARDO DISTRIBUTION CENTRE, nous recrutons un Agent Commercial terrain Zone Sud, residant idealement a Gabes, Medenine ou Zarzis. Si vous souhaitez developper votre profil professionnel et acquerir de nouvelles competences, saisissez lopportunite de rejoindre notre equipe commerciale, specialisee dans la commercialisation de produits de peinture. Vos taches consistent a : Rendre visite a nos clients existant et travailler sur lamelioration de portefeuille client Prospecter des nouveaux clients et des nouveaux marches Organiser en collaboration avec le superieur hierarchique les livraisons en cas de besoin Preparation le plan de prospection et le rapport de suivi journalier Participer aux promotions et aux evenements de marketing Verifier et recevoir des reglements en cas de besoin Exigences : Bac + 2 Experience : entre 1 et 2 ans dans le poste d'un commercial Resident a : GABES - MEDNINE - ZARZIS permis de conduire obligatoire",organisation,keejob,2025-11-30 16:30:51,httpswwwkeejobcomoffresemploi232222commercialterrainsud
Technicien Qualite,https://www.keejob.com/offres-emploi/232206/technicien-qualit%C3%A9/,,2025-11-30,"recrutement, ressources humaines",CDI,Bac + 3,Entre 2 et 5 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Nous recrutons pour le compte de notre partenaire, une entreprise specialisee dans la fabrication de machines a cafe, Technicien Qualite MISSIONS: Renforcer la maitrise de la qualite de production. Effectuer les audits au niveau de la ligne de production. Sassurer de la realisation des autocontroles. Redaction des rapports selon les controles effectues aux differents postes de controle de production. Redaction des alertes qualite. Traitement des reclamations client. Traitement des reclamations fournisseur. Les controles a la reception. Gestion de prison qualite. Controle OUT OF BOX (cest de prendre une machine finie et emballee, pour effectuer un controle esthetique et fonctionnel comme si elle etait deja chez le client) PROFIL RECHERCHE: Technicien superieur en mecanique ou electromecanique Experience souhaitee dau moins 2 ans Langue francaise exigee Bonnes competences en communications. Respect de la hierarchie, et respect des differents membres de lequipe. Rigueur, Engagement, et Honnetete Des connaissances en procedes de fabrication. Maitrise des outils de la gestion de la qualite (qualite production / qualite fournisseurs) Maitrise de Microsoft Excel.","gestion, excel",keejob,2025-11-30 16:30:54,httpswwwkeejobcomoffresemploi232206technicienqualitc3a9
Chef Departement Comptable,https://www.keejob.com/offres-emploi/232204/chef-d%C3%A9partement-comptable/,,2025-11-30,"agriculture, agro-alimentaire, environnement",CDD,Bac + 5,Entre 5 et 10 ans,Plein temps,"Megrine, Ben Arous, Tunisie",Ben Arous,Megrine,,,"Missions : * Charge de verifier l'exactitude des ecritures comptables et rend compte aupres des responsables de la structure. * Arreter les comptes comptables et assurer la gestion comptable et administrative selon les obligations legales en vigeur. * Prepare la cloture des comptes mensuels et annuels avant de les faire auditer par un expert- comptable. * Etablir les declarations fiscales et sociales. *Suivre le traitement des factures fournisseurs, des pieces bancaires et des ecritures de reclassement . *Actualiser les parametrages des systemes de traitement des donnees comptables. *Effectuer une veille des normes et legislations comptables. *Tenir le fichier des immobilisations. Lien hierarchique : Depend directement du Directeur comptable. Profil recherche : * Maitrise/Master en comptabilite. *Experience minimum de 5 ans dans un poste similaire. Qualites requises : -Connaissance des differents aspects reglementaires,comptables et fiscaux. -Maitrise des outils informatiques et logiciels comptables. -Organisation et sens de la responsabilite.",gestion,keejob,2025-11-30 16:30:58,httpswwwkeejobcomoffresemploi232204chefdc3a9partementcomptable
