title,company,location,contract,work_type,posted_relative,raw_content,detail_link,scraped_at
Ingénieur / Ingénieure d'études en génie électrique,TEAM PLANS TECHNICAL BUILDING EQUIPMENT,Tunis,CDI,Temps-plein,Il y a 11 heures,"Référence : 1170/2025/3260 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : TEAM PLANS TECHNICAL BUILDING EQUIPMENT Adresse : IMMB CORAL BLOC B 9 EME ETAGE BUREAU 3 Région : TUNIS Code postal : 1080 Téléphone : 22780104 E-mail : F.AFIFA@AFACADIDE.DE Activité de l'entreprise : ACTIVITES D'INGENIERIE Domaine : Architecture, Génie civil, Bâtiment, Hydraulique Diplôme d'étude : DIPLOME NA Spécialité d'étude : GENIE ELECTRIQUE Poste proposé : INGENIEUR GENIE ELECTRIQUE Profession à exercer : Lieu de travail : TUNIS Expérience souhaitée : 1 an(s) Nombre de postes proposés : 2 Bureau de l'emploi : BETI EL MENZAH Région : TUNIS Tel : 71904656 Fax : 71904662 Adresse : 5 BIS RUE LOUIS BRAILLE - 1002 TUNIS E-mail : TEAM PLANS TECHNICAL BUILDING EQUIPMENT",https://www.optioncarriere.tn/jobad/tn623ed518a2e1f691c9a84f07b785a3a8,2025-11-29 19:37:07
"Technicien / Technicienne en conception électronique, électrique",SOCIETE 2 B TRADING,Sousse,CDI,Temps-plein,Il y a 12 heures,"Référence : 5110/2025/3341 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : SOCIETE 2 B TRADING Adresse : IMB MOEZ B 4 SAHLOUL 1 SOUSSE Région : SOUSSE Code postal : 4000 Téléphone : 73367243 E-mail : INFO@2BETRADING.COM Activité de l'entreprise : COMMERCE DE GROS D'APPAREILS ELECTROMENAGERS Domaine : Electricité, Electronique, Electromécanique Diplôme d'étude : TECHNICIEN Spécialité d'étude : GENIE ELECTRONIQUE Profession à exercer : Lieu de travail : IMB MOEZ B 4 SAHLOUL 1 SOUSSE Nombre de postes proposés : 2 Bureau de l'emploi : SOUSSE Région : SOUSSE Tel : 73221080 Fax : 73224846 Adresse : RUE DE CONSTANTINE SOUSSE 4000 E-mail : SOCIETE 2 B TRADING",https://www.optioncarriere.tn/jobad/tn57aa5f7b84aa21188a76479639923313,2025-11-29 19:37:12
Manoeuvre manutentionnaire,Sindbad de Distribution,Tunis,CDI,Temps-plein,Il y a 12 heures,"Référence : 1110/2025/1958 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : STE DISTRIBUTION SINDBAD Adresse : GARE DE MARCHANDISE DEPOT N4 MONCEF BEY Région : TUNIS Code postal : 1001 Téléphone : 71334682 Activité de l'entreprise : FABRICATION DE PATES ALIMENTAIRES ET COUSCOUS Domaine : Transport, Logistique, Manutention Niveau : SECONDAIRE, B.T.P Profession à exercer : Lieu de travail : GARE DE MARCHANDISE DEPOT N4 MONCEF BEY Nombre de postes proposés : 3 Bureau de l'emploi : BAB BHAR Région : TUNIS Tel : 71344257 Fax : 71348044 Adresse : 5, AVENUE DES NATIONS TUNIS - 1001 E-mail : Sindbad de Distribution",https://www.optioncarriere.tn/jobad/tn48bb587284f9b7846b4f2b2136f8effa,2025-11-29 19:37:16
Magasinier / Magasinière,SOCIeTe BEST PARA,Sfax,CDI,Temps-plein,Il y a 13 heures,"Référence : 6140/2025/3346 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : SOCIeTe BEST PARA Adresse : RTE EL AIN KM2.5 RUE BECHIR B ZDIRA SFAX Région : SFAX Code postal : 3051 Téléphone : 23290607 Activité de l'entreprise : COMMERCE DE GROS DE PRODUITS PHARMACEUTIQUES Domaine : Transport, Logistique, Manutention Niveau : SECONDAIRE, B.T.P Profession à exercer : Lieu de travail : SFAX Nombre de postes proposés : 1 Bureau de l'emploi : SFAX SUD Région : SFAX Tel : 74400428 Fax : 74403042 Adresse : AVENUE 7 NOVEMBRE IMM ELYASMINE SFAX SUD 3027 E-mail : SOCIeTe BEST PARA",https://www.optioncarriere.tn/jobad/tn23118cc51fe7e32a72b6b47e20074b18,2025-11-29 19:37:21
Assistant administratif / Assistante administrative,ALL IN ONE CONSULTING,Tunis,CDI,Temps-plein,Il y a 14 heures,"Référence : 1110/2025/1951 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : ALL IN ONE CONSULTING Adresse : 04 RUE DE KENYA TUNIS Région : TUNIS Code postal : 1001 Téléphone : 31549201 E-mail : CONTACT@AIOCONSULT.COM Activité de l'entreprise : ACTIVITES D'INGENIERIE Domaine : Secrétariat Diplôme d'étude : LICENCE / Spécialité d'étude : INFORMATIQUE DE GESTION Profession à exercer : Lieu de travail : 04 RUE DE KENYA TUNIS Nombre de postes proposés : 1 Bureau de l'emploi : BAB BHAR Région : TUNIS Tel : 71344257 Fax : 71348044 Adresse : 5, AVENUE DES NATIONS TUNIS - 1001 E-mail : ALL IN ONE CONSULTING",https://www.optioncarriere.tn/jobad/tn5080afa8c979107e6b8fa3e31509c719,2025-11-29 19:37:27
Monteur-câbleur / Monteuse-câbleuse de matériels électriques,SOCIETE SEWS-TN/SUMITOMO,Monastir,CDI,Temps-plein,Il y a 14 heures,"Référence : 5210/2025/2252 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : SOCIETE SEWS-TN/SUMITOMO Adresse : H POLYFONCT TECHNOPOL MONASTIR Région : MONASTIR Code postal : 5011 Téléphone : 70222300 E-mail : LAMIS.ACHOUR@SEWS-E.COM Activité de l'entreprise : CONSTRUCTION DE VEHICULES AUTOMOBILES Domaine : Electricité, Electronique, Electromécanique Niveau : ECOLE DE BASE, C.A.P, APPRENTI Poste proposé : ouvrière de cablage Profession à exercer : Lieu de travail : H POLYFONCT TECHNOPOL MONASTIR Nombre de postes proposés : 200 Bureau de l'emploi : MONASTIR Région : MONASTIR Tel : 73467933 Fax : 73460483 Adresse : AVENUE DU MAROC MONASTIR 5000 E-mail : SOCIETE SEWS-TN/SUMITOMO",https://www.optioncarriere.tn/jobad/tn2045ede7a6eee886bfe843f71fd3614c,2025-11-29 19:37:33
Vendeur / Vendeuse en meubles,CCE MEUBLE ET AMEUBLEMENT BEN MOSBAH,"Kélibia, Nabeul",CDI,Temps-plein,Il y a 14 heures,"Référence : 2130/2025/907 (Offre de stage) Date de publication : 27/11/2025 Entreprise : CCE MEUBLE ET AMEUBLEMENT BEN MOSBAH Adresse : ROUTE DE TUNIS KELIBIA Région : NABEUL Code postal : 8090 Téléphone : 72276211 E-mail : BENMESBAH@GMAIL.COM Activité de l'entreprise : COMMERCE DE DETAIL DE MEUBLES, APPAREILS D'ECLAIRAGE ET AUTRES ARTICLES DE MENAGE EN MAGASIN SPECIAL Domaine : Commerce, Vente, Publicité, Marketing Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : KELIBIA Nombre de postes proposés : 1 Bureau de l'emploi : KELIBIA Région : NABEUL Tel : 72275593 Fax : 72275593 Adresse : RUE EZZOUHOURKELIBIA 8090 E-mail : CCE MEUBLE ET AMEUBLEMENT BEN MOSBAH",https://www.optioncarriere.tn/jobad/tne4c5f7d6378dccb52537cc8b4f48bb03,2025-11-29 19:37:38
Magasinage et préparation de commandes,SOCIETE ETEG,Monastir,CDI,Temps-plein,Il y a 15 heures,"Référence : 5210/2025/2250 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : SOCIETE ETEG Adresse : R4 DESSUS PRESSING ESSADA 2EME ETAGE Région : MONASTIR Code postal : 5000 Téléphone : 29760820 E-mail : ETEG.DIRECTION@GMAIL.COM Activité de l'entreprise : INSTALLATION ELECTRIQUE Domaine : Transport, Logistique, Manutention Niveau : SECONDAIRE, B.T.P Poste proposé : MAGASINIER Il sera appelé à : Réceptionner les marchandises (vérification des quantités, contrôle de conformité, état des produits). Enregistrer les entrées dans le système de gestion (stock, bons de réception…). Maintenir l'ordre et la propreté de l'entrepôt/magasin. Préparer les commandes Profession à exercer : Lieu de travail : R4 DESSUS PRESSING ESSADA 2EME ETAGE Expérience souhaitée : 2 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : MONASTIR Région : MONASTIR Tel : 73467933 Fax : 73460483 Adresse : AVENUE DU MAROC MONASTIR 5000 E-mail : SOCIETE ETEG",https://www.optioncarriere.tn/jobad/tn90c762572c458b03e61ce5135378cb56,2025-11-29 19:37:42
Magasinier / Magasinière,FARHA HOME SH COMMERCIAL,"Hammam Sousse, Sousse",CDI,Temps-plein,Il y a 15 heures,"Référence : 5130/2025/2777 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : FARHA HOME SH COMMERCIAL Adresse : RUE DE LA LIBERTE HAMMAM SOUSSE Région : SOUSSE Code postal : 4011 Téléphone : 55092244 E-mail : FARHAHOME05@GMAIL.COM Activité de l'entreprise : COMMERCE DE GROS DE MATERIAUX DE CONSTRUCTION ET D'APPAREILS SANITAIRES Domaine : Transport, Logistique, Manutention Niveau : SECONDAIRE, B.T.P Profession à exercer : Lieu de travail : RUE DE LA LIBERTE HAMMAM SOUSSE Nombre de postes proposés : 1 Autres informations : un homme ou femme ayant niveau secondaire et l'age ne depasse pas 35 ans envoyer CV par email:FARHAHOME05@GMAIL.COM Bureau de l'emploi : HAMMAM SOUSSE Région : SOUSSE Tel : 73361033 Fax : 73361066 Adresse : RUE ABOUJIHED - HAMMAM-SOUSSE 4011 E-mail : FARHA HOME SH COMMERCIAL",https://www.optioncarriere.tn/jobad/tnedcb76049cc945e7333b96de209b7543,2025-11-29 19:37:48
Auditeur / Auditrice comptable,CMR.AUDIT- CONSEIL MANAGEMENT REVISION,Tunis,CDI,Temps-plein,Il y a 15 heures,"Référence : 1170/2025/3263 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : CMR.AUDIT- CONSEIL MANAGEMENT REVISION Adresse : RESID.MORJENE AVE.TAHAR SFAR RDC N2 Région : TUNIS Code postal : 2092 Téléphone : 71886120 E-mail : CMRAUDIT@CMRAUDIT.COM Activité de l'entreprise : ACTIVITES COMPTABLES Domaine : Comptabilité, Audit, conseil Diplôme d'étude : LICENCE / Spécialité d'étude : GESTION COMPTABLE Poste proposé : COMPTABLE Profession à exercer : Lieu de travail : TUNIS Expérience souhaitée : 1 an(s) Nombre de postes proposés : 2 Bureau de l'emploi : BETI EL MENZAH Région : TUNIS Tel : 71904656 Fax : 71904662 Adresse : 5 BIS RUE LOUIS BRAILLE - 1002 TUNIS E-mail : CMR.AUDIT- CONSEIL MANAGEMENT REVISION",https://www.optioncarriere.tn/jobad/tna580a19967d83f5921581b6fbf9f2cbb,2025-11-29 19:37:52
Assistant administratif / Assistante administrative,STE RITEJ SELECTION ET FOURNITURE DE PER,"Ksar Hellal, Monastir",CDI,Temps-plein,Il y a 15 heures,Référence : 5220/2025/1408 (Offre de stage) Date de publication : 27/11/2025 Entreprise : STE RITEJ SELECTION ET FOURNITURE DE PER Adresse : AV HABIB BOURGUIBA (DESS MY HOUSE) K HEL Région : MONASTIR Code postal : 5070 Téléphone : 58400002 E-mail : FINANCE.RITEJ@GMAIL.COM Activité de l'entreprise : ACTIVITES DES AGENCES DE PLACEMENT DE MAIN-D'ŒUVRE Domaine : Secrétariat Niveau : BAC ET PLUS SANS DIPLOME Spécialité d'étude : LANGUE ANGLAISE APPLIQUEE Profession à exercer : Lieu de travail : KSAR HELLAL Nombre de postes proposés : 1 Bureau de l'emploi : KSAR HELLAL Région : MONASTIR Tel : 73545703 Fax : 73545656 Adresse : RUE HEDI BOUSLAMA - KSAR HELLAL 5070 E-mail : STE RITEJ SELECTION ET FOURNITURE DE PER,https://www.optioncarriere.tn/jobad/tnfec3789176ae104f40578af1434423d2,2025-11-29 19:38:01
