title,company,location,contract,work_type,posted_relative,raw_content,detail_link
Technicien / Technicienne de maintenance industrielle,STE CERAT,Ben Arous,CDI,Temps-plein,Il y a 3 heures,"Référence : 1330/2025/1691 (Offre de stage) Date de publication : 24/11/2025 Entreprise : STE CERAT Adresse : Z.I CHEBEDDA NAASSEN Région : BEN AROUS Code postal : 1135 Téléphone : 71398068 E-mail : rh.ceratceramique@gmail.com Activité de l'entreprise : FABRICATION DE CARREAUX EN CERAMIQUE Domaine : Mécanique, Maintenance, Soudure Diplôme de la formation professionnelle : B.T.S. Spécialité de la formation professionnelle : TECH.MAINTENANCE INDUSTRIELLE Poste proposé : Technicien Superieur en Maintenance industrielle Profession à exercer : Lieu de travail : Z.I CHEBEDDA NAASSEN Nombre de postes proposés : 1 Bureau de l'emploi : FOUCHANA Région : BEN AROUS Tel : 79408045 Fax : 79408037 Adresse : RUE NABEUL Z.I. EL MEGHIRA FOUCHANA 2082 E-mail : STE CERAT",https://www.optioncarriere.tn/jobad/tnb02653bc20bec5666f775c504a84e33f
Gardien / Gardienne,PENA TUNISIE,Tunis,CDI,Temps-plein,Il y a 3 heures,"Référence : 1330/2025/1679 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : PENA TUNISIE Adresse : AVENUE TUNIS ZI MGHIRA 2 Région : BEN AROUS Code postal : 2082 Téléphone : 99342488 E-mail : logistique.penatunisie@groupepena.fr Activité de l'entreprise : TRAITEMENT ET ELIMINATION DES DECHETS NON DANGEREUX Domaine : Sécurité, Gardiennage, Services à domicile Niveau : ECOLE DE BASE, C.A.P, APPRENTI Poste proposé : Gardien Profession à exercer : Lieu de travail : AVENUE TUNIS ZI MGHIRA 2 Expérience souhaitée : 2 an(s) Nombre de postes proposés : 3 Bureau de l'emploi : FOUCHANA Région : BEN AROUS Tel : 79408045 Fax : 79408037 Adresse : RUE NABEUL Z.I. EL MEGHIRA FOUCHANA 2082 E-mail : PENA TUNISIE",https://www.optioncarriere.tn/jobad/tn4fef15a53fdad9924ac88a41a7078b8d
Assistant / Assistante comptable,SOCIETE LS CONSULTING,Bizerte,CDI,Temps-plein,Il y a 4 heures,"Référence : 2310/2025/1356 (Offre de stage) Date de publication : 24/11/2025 Entreprise : SOCIETE LS CONSULTING Adresse : 25 RUE MONGI SLIM BIZERTE Région : BIZERTE Code postal : 7000 Téléphone : 98772532 E-mail : AYARIAYMEN@GMAIL.COM Activité de l'entreprise : ACTIVITES COMPTABLES Domaine : Comptabilité, Audit, conseil Niveau : BAC ET PLUS SANS DIPLOME Profession à exercer : Lieu de travail : BIZERTE NORD Nombre de postes proposés : 1 Bureau de l'emploi : BIZERTE Région : BIZERTE Tel : 72432377 Fax : 72432973 Adresse : 169 AVENUE HASSEN ENNOURI BIZERTE 7000 E-mail : SOCIETE LS CONSULTING",https://www.optioncarriere.tn/jobad/tn602620ceeffad718e08ae647137e6f0d
Assistant / Assistante de direction,MOUNIR BELHAJ,"Grombalia, Nabeul",CDI,Temps-plein,Il y a 5 heures,Référence : 2120/2025/2048 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : MOUNIR BELHAJ Adresse : RUE 18 JANVIER GROMBALIA Région : NABEUL Code postal : 8030 Téléphone : 51969430 E-mail : BELHAJ@HOTMAIL.FR Activité de l'entreprise : ENSEIGNEMENT DE LA CONDUITE Domaine : Secrétariat Niveau : PREMIER CYCLE UNIVERSITAIRE Profession à exercer : Lieu de travail : RUE 18 JANVIER GROMBALIA Nombre de postes proposés : 1 Bureau de l'emploi : GROMBALIA Région : NABEUL Tel : 72255209 Fax : 72213016 Adresse : 2 RUE 2 MARS 1934 GROMBALIA 8030 E-mail : MOUNIR BELHAJ,https://www.optioncarriere.tn/jobad/tn1fcb52b6dcc4c26c80379fd1251aef31
Technicien / Technicienne d'agriculture,STE HAMMAMI STOCKAGE AGRICOLE S O H A S,Kasserine,CDI,Temps-plein,Il y a 5 heures,"Référence : 4220/2025/644 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : STE HAMMAMI STOCKAGE AGRICOLE S O H A S Adresse : CHRAYAA Région : KASSERINE Code postal : 1250 Téléphone : 24954766 E-mail : SH.AGRICULTURE@GROUPE-HAMMAMI.COM.TN Activité de l'entreprise : ENTREPOSAGE ET STOCKAGE FRIGORIFIQUE Domaine : Agriculture, Pêche, Production animale Niveau : BAC ET PLUS SANS DIPLOME Spécialité d'étude : AGRICULTURE Poste proposé : tech.sup en agriculture Profession à exercer : Lieu de travail : CHRAYAA Nombre de postes proposés : 1 Autres informations : salaire legal Bureau de l'emploi : SBEITLA Région : KASSERINE Tel : 77466190 Fax : 77466200 Adresse : RUE TAHER BOUZRIBA SBEITLA 1250 E-mail : STE HAMMAMI STOCKAGE AGRICOLE S O H A S",https://www.optioncarriere.tn/jobad/tn9b4167e4cf6ed305be475a535ecee9ba
Manoeuvre manutentionnaire,GIPA,"Grombalia, Nabeul",CDI,Temps-plein,Il y a 6 heures,"Référence : 2120/2025/2051 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : GIPA Adresse : FONDOUK JEDID GROMBALIA Région : NABEUL Code postal : 8012 Téléphone : 70020740 E-mail : RECRUTEMENTGIPA@GIPA.COM.TN Activité de l'entreprise : EXPLOITATION DE LAITERIES ET FABRICATION DE FROMAGE Domaine : Transport, Logistique, Manutention Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : FONDOUK JEDID GROMBALIA Nombre de postes proposés : 20 Bureau de l'emploi : GROMBALIA Région : NABEUL Tel : 72255209 Fax : 72213016 Adresse : 2 RUE 2 MARS 1934 GROMBALIA 8030 E-mail : GIPA",https://www.optioncarriere.tn/jobad/tn47a31285598dd464fe42a3ba93774480
Opérateur / Opératrice sur machines automatisées en prod électronique,LEONI KALAA KEBIRA,Sousse,CDI,Temps-plein,Il y a 6 heures,"Référence : 5130/2025/2736 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : LEONI KALAA KEBIRA Adresse : ROUTE DE TUNIS STATIONRMILA Région : SOUSSE Code postal : 4060 Téléphone : 28996202 E-mail : ICHRAK.BEN_TAHER@LEONI.COM Activité de l'entreprise : FABRICATION D'AUTRES FILS ET CABLES ELECTRONIQUES OU ELECTRIQUES Domaine : Electricité, Electronique, Electromécanique Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : ROUTE DE TUNIS STATIONRMILA Nombre de postes proposés : 20 Bureau de l'emploi : HAMMAM SOUSSE Région : SOUSSE Tel : 73361033 Fax : 73361066 Adresse : RUE ABOUJIHED - HAMMAM-SOUSSE 4011 E-mail : LEONI KALAA KEBIRA",https://www.optioncarriere.tn/jobad/tn693a8fe46282fb6944245cc4150f232d
Responsable contrôle qualité,IMPRIMERIE EL HILEL,"Ksar Hellal, Monastir",CDI,Temps-plein,Il y a 6 heures,"Référence : 5220/2025/1388 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : IMPRIMERIE EL HILEL Adresse : 075 AVENUE HABIB BOURGUIBA K HELLAL Région : MONASTIR Code postal : 5070 Téléphone : 73450924 E-mail : FIRAS.IBNHAJMOHAMMED@EL-HILEL.COM Activité de l'entreprise : AUTRES ACTIVITES D'EDITION Domaine : Energétique, Génie industriel Niveau : BAC ET PLUS SANS DIPLOME Profession à exercer : Lieu de travail : KSAR HELLAL Expérience souhaitée : 2 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : KSAR HELLAL Région : MONASTIR Tel : 73545703 Fax : 73545656 Adresse : RUE HEDI BOUSLAMA - KSAR HELLAL 5070 E-mail : IMPRIMERIE EL HILEL",https://www.optioncarriere.tn/jobad/tn441cfe2735c988082f089da40b274c18
Assistant administratif / Assistante administrative,ALKAWADER DE RECRUTEMENT A L ETRANGER,"Grombalia, Nabeul",CDI,Temps-plein,Il y a 6 heures,Référence : 2120/2025/2059 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : ALKAWADER DE RECRUTEMENT A L ETRANGER Adresse : 5 RUE 18 JANVIER BUREAU N 4 GROMBALIA Région : NABEUL Code postal : 8030 Téléphone : 29877581 E-mail : CONTACT@ALKWADER.COM Activité de l'entreprise : ACTIVITES DES AGENCES DE PLACEMENT DE MAIN-D'ŒUVRE Domaine : Secrétariat Niveau : PREMIER CYCLE UNIVERSITAIRE Spécialité d'étude : LANGUE ET LITTERATURES ANGLAISES Profession à exercer : Lieu de travail : 5 RUE 18 JANVIER BUREAU N 4 GROMBALIA Nombre de postes proposés : 1 Bureau de l'emploi : GROMBALIA Région : NABEUL Tel : 72255209 Fax : 72213016 Adresse : 2 RUE 2 MARS 1934 GROMBALIA 8030 E-mail : ALKAWADER DE RECRUTEMENT A L ETRANGER,https://www.optioncarriere.tn/jobad/tnb086c85188518e31d94ee0e6ec163d13
Ouvrier / Ouvrière sur machine du travail des métaux et composites,STE FRIKHA ET FERSI DE PLASTIQUE,Sfax,CDI,Temps-plein,Il y a 6 heures,"Référence : 6140/2025/3251 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : STE FRIKHA ET FERSI DE PLASTIQUE Adresse : RTE GABES KM 6 IMPASSE SIDI SALEM Région : SFAX Code postal : 3052 Téléphone : 20546930 E-mail : BREC.SFAX@EMPLOI.NAT.TN Activité de l'entreprise : FABRICATION D'AUTRES ARTICLES EN MATIERES PLASTIQUES Domaine : Mécanique, Maintenance, Soudure Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : SFAX Nombre de postes proposés : 1 Bureau de l'emploi : SFAX SUD Région : SFAX Tel : 74400428 Fax : 74403042 Adresse : AVENUE 7 NOVEMBRE IMM ELYASMINE SFAX SUD 3027 E-mail : STE FRIKHA ET FERSI DE PLASTIQUE",https://www.optioncarriere.tn/jobad/tnb4892188615dcef9d4c718ee4c477d1e
Magasinier / Magasinière,PULL TEX,"Ouerdanine, Monastir",CDI,Temps-plein,Il y a 6 heures,"Référence : 5210/2025/2216 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : PULL TEX Adresse : ROUTE DE SOUSSE KM 2 OUERDANINE Région : MONASTIR Code postal : 5010 Téléphone : 56693411 E-mail : B.SERVICE98@YAHOO.COM Activité de l'entreprise : FABRICATION INDUSTRIELLE DE VETEMENTS DE DESSUS Domaine : Transport, Logistique, Manutention Niveau : ECOLE DE BASE, C.A.P, APPRENTI Poste proposé : Magasinier Il sera appelé à : Réception et contrôle des marchandises Organisation et rangement du magasin Préparation des commandes et des bons de livraison Suivi des mouvements de stock et inventaires périodiques Application stricte des procédures internes et de sécurité Profession à exercer : Lieu de travail : ROUTE DE SOUSSE KM 2 OUERDANINE Expérience souhaitée : 1 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : MONASTIR Région : MONASTIR Tel : 73467933 Fax : 73460483 Adresse : AVENUE DU MAROC MONASTIR 5000 E-mail : PULL TEX",https://www.optioncarriere.tn/jobad/tn474a97530e64c2e43ed9ae5dcce4656d
Animateur / Animatrice de club enfants,JARDIN D ENFANT BAYA KIDS KAWTHER IRGUI,"Hammamet, Nabeul",CDI,Temps-plein,Il y a 6 heures,"Référence : 2140/2025/1973 (Offre de stage) Date de publication : 24/11/2025 Entreprise : JARDIN D ENFANT BAYA KIDS KAWTHER IRGUI Adresse : RUE TAHER SFAR HAMMAMET Région : NABEUL Code postal : 8050 Téléphone : 50223596 E-mail : KAWTHERARGUI@GMAIL.COM Activité de l'entreprise : ENSEIGNEMENT PRE-PRIMAIRE Domaine : Services Sociaux, Animation jeunesse et enfance, Sports et loisirs Niveau : PREMIER CYCLE UNIVERSITAIRE Spécialité d'étude : LITTERATURE FRANCAISE Poste proposé : animatrice d'enfants Profession à exercer : Lieu de travail : HAMMAMET Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAMET Région : NABEUL Tel : 72283364 Fax : 72279494 Adresse : 53 AV EL AKABA EL HECHIMIA-HAMMAMET 8050 E-mail : JARDIN D ENFANT BAYA KIDS KAWTHER IRGUI",https://www.optioncarriere.tn/jobad/tn91c17cf2b76e3964b808c8b3fced336a
Animateur / Animatrice d'enfants,INTISSAR BEN AHMED ENSEIGNEMENT COURS PA,Nabeul,CDI,Temps-plein,Il y a 7 heures,"Référence : 2120/2025/2053 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : INTISSAR BEN AHMED ENSEIGNEMENT COURS PA Adresse : A COTE ECOLE 02 MARS FONDOUK JEDID Région : NABEUL Code postal : 8012 Téléphone : 54240345 E-mail : INTISSARBENAHMED@GMAIL.COM Activité de l'entreprise : ACTIVITES DE SOUTIEN A L'ENSEIGNEMENT Domaine : Services Sociaux, Animation jeunesse et enfance, Sports et loisirs Niveau : PREMIER CYCLE UNIVERSITAIRE Profession à exercer : Lieu de travail : A COTE ECOLE 02 MARS FONDOUK JEDID Nombre de postes proposés : 1 Bureau de l'emploi : GROMBALIA Région : NABEUL Tel : 72255209 Fax : 72213016 Adresse : 2 RUE 2 MARS 1934 GROMBALIA 8030 E-mail : INTISSAR BEN AHMED ENSEIGNEMENT COURS PA",https://www.optioncarriere.tn/jobad/tn68155344f294770611400ec405cd4649
Electricien / Electricienne d'équipements industriels,BAPLAST,Sfax,CDI,Temps-plein,Il y a 7 heures,"Référence : 6140/2025/3257 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : BAPLAST Adresse : Z I OUED CHAABOUNI Région : SFAX Code postal : 3072 Téléphone : 47424424 E-mail : b.baplast@yahoo.fr Activité de l'entreprise : FABRICATION D'EMBALLAGES EN MATIERES PLASTIQUES Domaine : Electricité, Electronique, Electromécanique Diplôme d'étude : LICENCE / Spécialité d'étude : GENIE ELECTRIQUE Profession à exercer : Lieu de travail : SFAX Nombre de postes proposés : 1 Bureau de l'emploi : SFAX SUD Région : SFAX Tel : 74400428 Fax : 74403042 Adresse : AVENUE 7 NOVEMBRE IMM ELYASMINE SFAX SUD 3027 E-mail : BAPLAST",https://www.optioncarriere.tn/jobad/tn33c9d855bc5354c5b8a500c5386060e4
Assistant / Assistante de direction,SOCIETE AGRO UNO GATFI GROUPE,"Soliman, Nabeul",CDI,Temps-plein,Il y a 7 heures,Référence : 2120/2025/2049 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : SOCIETE AGRO UNO GATFI GROUPE Adresse : EN FACE INTERWASHING SOLIMAN Région : NABEUL Code postal : 8020 Téléphone : 22638893 E-mail : MOUNIRGATFI@GMAIL.COM Activité de l'entreprise : FABRICATION DE CONDIMENTS ET ASSAISONNEMENTS Domaine : Secrétariat Diplôme de la formation professionnelle : B.T.S. Spécialité de la formation professionnelle : ASSISTANT DE DIRECTION Profession à exercer : Lieu de travail : EN FACE INTERWASHING SOLIMAN Expérience souhaitée : 1 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : GROMBALIA Région : NABEUL Tel : 72255209 Fax : 72213016 Adresse : 2 RUE 2 MARS 1934 GROMBALIA 8030 E-mail : SOCIETE AGRO UNO GATFI GROUPE,https://www.optioncarriere.tn/jobad/tn878fe24d6d4c3162ac8f588b0a67801f
Caissier / Caissière,STE HALIM DE COMMERCE SARL VENTE GROS AL,"Hammamet, Nabeul",CDI,Temps-plein,Il y a 8 heures,"Référence : 2140/2025/1977 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : STE HALIM DE COMMERCE SARL VENTE GROS AL Adresse : CITة MERZGUI BARRAKET ESSAHEL Région : NABEUL Code postal : 8056 Téléphone : 72248244 E-mail : STE_HALIM@YAHOO.COM Activité de l'entreprise : COMMERCE DE DETAIL DE VIANDES ET DE PRODUITS A BASE DE VIANDE EN MAGASIN SPECIALISE Domaine : Commerce, Vente, Publicité, Marketing Niveau : SECONDAIRE, B.T.P Poste proposé : caissier(e) Profession à exercer : Lieu de travail : HAMMAMET Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAMET Région : NABEUL Tel : 72283364 Fax : 72279494 Adresse : 53 AV EL AKABA EL HECHIMIA-HAMMAMET 8050 E-mail : STE HALIM DE COMMERCE SARL VENTE GROS AL",https://www.optioncarriere.tn/jobad/tn0abced6bf58156a0714df665cdee6cdc
Technicien /Technicienne conception industrielle en mécanique,STE SCES TRANSFORMATION DE LA TOLE,Sousse,CDI,Temps-plein,Il y a 8 heures,"Référence : 5110/2025/3278 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : STE SCES TRANSFORMATION DE LA TOLE Adresse : AV YASSER ARAFET IMM FREDJ 2 APP 202 Région : SOUSSE Code postal : 4054 Téléphone : 73367265 E-mail : SETT.TUNISIE@GMAIL.COM Activité de l'entreprise : FABRICATION DE GENERATEURS DE VAPEUR, A L'EXCEPTION DES CHAUDIERES POUR LE CHAUFFAGE CENTRAL Domaine : Mécanique, Maintenance, Soudure Diplôme d'étude : TECHNICIEN Spécialité d'étude : GENIE MECANIQUE Il sera appelé à : MAITRISANT SOLIDWORKS Profession à exercer : Lieu de travail : AV YASSER ARAFET IMM FREDJ 2 APP 202 Nombre de postes proposés : 1 Bureau de l'emploi : SOUSSE Région : SOUSSE Tel : 73221080 Fax : 73224846 Adresse : RUE DE CONSTANTINE SOUSSE 4000 E-mail : STE SCES TRANSFORMATION DE LA TOLE",https://www.optioncarriere.tn/jobad/tn1aed402171276dc89130f1033a957ca9
